internship_description,applied_count,total_count,benefits,title,field,district,state,max_stipend,min_stipend,duration,sector,posting_time,company_id,external_id,id
"This internship focuses on framer, html, css and related frontend development tasks.",15,20,"['Exposure to R&D', 'Hands-on training']",Web Development Intern (Frontend),Frontend development,Ratlam,Madhya Pradesh,5251.0,232.0,4months,Technology,2024-08-27 00:00:00,7,1,1
"This internship focuses on framer, html, css and related frontend development tasks.",3,10,"['Equity Consideration', 'Employee discount', 'Exposure to R&D']",Web Development Intern (Frontend),Frontend development,Aurangabad,Maharashtra,13092.0,1258.0,6months,Technology,2024-04-13 00:00:00,19,2,2
"This internship focuses on html, css, js and related frontend development tasks.",4,10,"['Certificate', 'Travel allowance', 'Stipend', 'Exposure to Banking', 'Hands-on training']",React.js Frontend Intern,Frontend development,Kalaburagi,Karnataka,13665.0,3871.0,3months,Technology,2025-05-21 00:00:00,15,3,3
"This internship focuses on html, css, js and related frontend development tasks.",26,25,"['Accommodation', 'Employee discount', 'Stipend', 'Mentorship']",Frontend Engineer Intern,Frontend development,Mumbai,Maharashtra,198.0,82.0,5months,Technology,2025-04-26 00:00:00,1,4,4
"This internship focuses on css, backend, frontend and related frontend development tasks.",5,8,"['Letter of Recommendation', 'PPE Provided', 'Employee discount', 'Hands-on training', 'Certificate']",Frontend Development Intern,Frontend development,Nizamabad,Telangana,2111.0,509.0,8months,Technology,2024-07-03 00:00:00,16,5,5
"This internship focuses on css, backend, frontend and related frontend development tasks.",19,29,"['Mentorship', 'Accommodation', 'Exposure to Banking']",Web Development Intern (Frontend),Frontend development,Gwalior,Madhya Pradesh,3711.0,1745.0,6months,Technology,2024-04-27 00:00:00,3,6,6
"This internship focuses on html, css, js and related frontend development tasks.",17,17,"['Travel allowance', 'Meals', 'Letter of Recommendation', 'PPE Provided']",Frontend Development Intern,Frontend development,Satna,Madhya Pradesh,3420.0,1549.0,3months,Technology,2025-02-01 00:00:00,1,7,7
"This internship focuses on html, css, js and related frontend development tasks.",2,7,"['Hands-on training', 'Accommodation', 'Employee discount']",UI/UX and Frontend Intern,Frontend development,Adilabad,Telangana,5151.0,1560.0,6months,Technology,2024-09-19 00:00:00,20,8,8
"This internship focuses on html, css, js and related frontend development tasks.",16,16,['Employee discount'],Frontend Engineer Intern,Frontend development,Wayanad,Kerala,9488.0,3986.0,3months,Technology,2025-06-10 00:00:00,13,9,9
"This internship focuses on html, css, js and related frontend development tasks.",28,30,"['Hands-on training', 'Mentorship', 'Meals', 'PPE Provided']",UI/UX and Frontend Intern,Frontend development,Ratlam,Madhya Pradesh,967.0,167.0,7months,Technology,2024-08-22 00:00:00,8,10,10
"This internship focuses on html, css, js and related frontend development tasks.",7,14,['Exposure to R&D'],Web Development Intern (Frontend),Frontend development,North 24 Parganas,West Bengal,2340.0,568.0,8months,Technology,2024-08-31 00:00:00,16,11,11
"This internship focuses on html, css, js and related frontend development tasks.",6,5,"['Certificate', 'Mentorship']",UI/UX and Frontend Intern,Frontend development,Nagpur,Maharashtra,14395.0,1486.0,5months,Technology,2024-08-29 00:00:00,1,12,12
"This internship focuses on css, typescript, js and related frontend development tasks.",15,19,"['Equity Consideration', 'PPE Provided']",UI/UX and Frontend Intern,Frontend development,Nizamabad,Telangana,12298.0,117.0,8months,Technology,2025-06-30 00:00:00,6,13,13
"This internship focuses on css, typescript, js and related frontend development tasks.",7,16,"['Letter of Recommendation', 'Stipend', 'PPE Provided', 'Meals', 'Travel allowance']",Frontend Development Intern,Frontend development,Howrah,West Bengal,2825.0,469.0,9months,Technology,2025-03-30 00:00:00,13,14,14
"This internship focuses on html, css, js and related frontend development tasks.",28,28,"['Mentorship', 'Accommodation', 'Employee discount']",Web Development Intern (Frontend),Frontend development,Medinipur,West Bengal,6187.0,1628.0,8months,Technology,2024-07-23 00:00:00,20,15,15
"This internship focuses on html, css, js and related frontend development tasks.",4,20,['Stipend'],UI/UX and Frontend Intern,Frontend development,Thanjavur,Tamil Nadu,12741.0,5897.0,7months,Technology,2025-09-15 00:00:00,10,16,16
"This internship focuses on html, css, js and related frontend development tasks.",1,19,['PPE Provided'],UI/UX and Frontend Intern,Frontend development,Belagavi,Karnataka,5115.0,2187.0,9months,Technology,2025-08-31 00:00:00,10,17,17
"This internship focuses on html, css, js and related frontend development tasks.",13,25,"['Certificate', 'Travel allowance', 'Hands-on training', 'Equity Consideration', 'Mentorship']",Frontend Engineer Intern,Frontend development,Ahmednagar,Maharashtra,2433.0,354.0,6months,Technology,2024-03-06 00:00:00,4,18,18
"This internship focuses on lovable, html, css and related frontend development tasks.",2,5,"['Accommodation', 'Meals', 'Letter of Recommendation']",Frontend Development Intern,Frontend development,Rewa,Madhya Pradesh,3376.0,452.0,5months,Technology,2025-02-19 00:00:00,6,19,19
"This internship focuses on lovable, html, css and related frontend development tasks.",20,29,"['Meals', 'Stipend', 'Equity Consideration']",Frontend Engineer Intern,Frontend development,Bhopal,Madhya Pradesh,1022.0,491.0,4months,Technology,2024-06-12 00:00:00,6,20,20
