requirements_responsibilities_description,max_experience,min_experience,min_qualification_rank,mode,stream,specialization,external_id,internship_id
"Required skills: java, microservices, Docker, rest_api. Must-have skills: java, microservices. Interns will be responsible for tasks involving java, microservices, Docker and assisting in related projects to gain hands-on experience.",2,3,6,Onsite,CS,Artificial Intelligence & Machine Learning,61,61
"Required skills: java, microservices, Docker, rest_api. Must-have skills: java, microservices. Interns will be responsible for tasks involving java, microservices, Docker and assisting in related projects to gain hands-on experience.",3,0,4,Remote,CS,Any,62,62
"Required skills: java, aws, spring_boot, Docker. Must-have skills: java, spring_boot. Interns will be responsible for tasks involving java, aws, spring_boot and assisting in related projects to gain hands-on experience.",1,1,5,Onsite,CS,Any,63,63
"Required skills: java, aws, spring_boot, Docker. Must-have skills: java, spring_boot. Interns will be responsible for tasks involving java, aws, spring_boot and assisting in related projects to gain hands-on experience.",3,0,5,Remote,CS,Any,64,64
"Required skills: java, junit, mockito, testing. Must-have skills: java, junit. Interns will be responsible for tasks involving java, junit, mockito and assisting in related projects to gain hands-on experience.",4,5,5,Remote,CS,Data Science & Big Data Analytics,65,65
"Required skills: java, junit, mockito, testing. Must-have skills: java, junit. Interns will be responsible for tasks involving java, junit, mockito and assisting in related projects to gain hands-on experience.",4,3,4,Remote,CS,Cloud Computing & DevOps,66,66
"Required skills: java, selenium, automation, testng. Must-have skills: java, selenium. Interns will be responsible for tasks involving java, selenium, automation and assisting in related projects to gain hands-on experience.",1,0,4,Onsite,CS,Software Engineering & Development,67,67
"Required skills: java, selenium, automation, testng. Must-have skills: java, selenium. Interns will be responsible for tasks involving java, selenium, automation and assisting in related projects to gain hands-on experience.",2,1,3,Onsite,CS,Data Science & Big Data Analytics,68,68
"Required skills: java, sql, spark, etl. Must-have skills: java, sql. Interns will be responsible for tasks involving java, sql, spark and assisting in related projects to gain hands-on experience.",3,3,3,Onsite,CS,Software Engineering & Development,69,69
"Required skills: java, sql, spark, etl. Must-have skills: java, sql. Interns will be responsible for tasks involving java, sql, spark and assisting in related projects to gain hands-on experience.",1,0,3,Remote,CS,Cloud Computing & DevOps,70,70
"Required skills: java, multithreading, jvm, profiling. Must-have skills: java, multithreading. Interns will be responsible for tasks involving java, multithreading, jvm and assisting in related projects to gain hands-on experience.",1,1,5,Onsite,CS,Any,71,71
"Required skills: java, multithreading, jvm, profiling. Must-have skills: java, multithreading. Interns will be responsible for tasks involving java, multithreading, jvm and assisting in related projects to gain hands-on experience.",4,0,6,Hybrid,CS,Any,72,72
"Required skills: java, Docker, ci_cd, deployment. Must-have skills: java, Docker. Interns will be responsible for tasks involving java, Docker, ci_cd and assisting in related projects to gain hands-on experience.",1,2,4,Remote,CS,Software Engineering & Development,73,73
"Required skills: java, Docker, ci_cd, deployment. Must-have skills: java, Docker. Interns will be responsible for tasks involving java, Docker, ci_cd and assisting in related projects to gain hands-on experience.",2,3,4,Onsite,CS,Any,74,74
"Required skills: java, data_structures, performance. Must-have skills: java, data_structures. Interns will be responsible for tasks involving java, data_structures, performance and assisting in related projects to gain hands-on experience.",1,1,5,Hybrid,CS,Software Engineering & Development,75,75
"Required skills: java, data_structures, performance. Must-have skills: java, data_structures. Interns will be responsible for tasks involving java, data_structures, performance and assisting in related projects to gain hands-on experience.",2,2,4,Remote,CS,Data Science & Big Data Analytics,76,76
"Required skills: java, sql, analytics, reporting. Must-have skills: java, sql. Interns will be responsible for tasks involving java, sql, analytics and assisting in related projects to gain hands-on experience.",4,5,6,Remote,CS,Cybersecurity & Information Security,77,77
"Required skills: java, sql, analytics, reporting. Must-have skills: java, sql. Interns will be responsible for tasks involving java, sql, analytics and assisting in related projects to gain hands-on experience.",3,3,4,Onsite,CS,Any,78,78
"Required skills: java, spring_boot, system_design. Must-have skills: java, spring_boot. Interns will be responsible for tasks involving java, spring_boot, system_design and assisting in related projects to gain hands-on experience.",1,1,5,Remote,CS,Any,79,79
"Required skills: java, spring_boot, system_design. Must-have skills: java, spring_boot. Interns will be responsible for tasks involving java, spring_boot, system_design and assisting in related projects to gain hands-on experience.",2,0,6,Onsite,CS,Any,80,80
