requirements_responsibilities_description,max_experience,min_experience,min_qualification_rank,mode,stream,specialization,external_id,internship_id
"Required skills: java, spring_boot, sql, hibernate, rest_api. Must-have skills: java, spring_boot, rest_api. Interns will be responsible for tasks involving java, spring_boot, sql and assisting in related projects to gain hands-on experience.",2,0,5,Remote,CS,Software Engineering & Development,21,21
"Required skills: java, spring_boot, sql, hibernate, rest_api. Must-have skills: java, spring_boot, rest_api. Interns will be responsible for tasks involving java, spring_boot, sql and assisting in related projects to gain hands-on experience.",2,1,4,Onsite,CS,Cloud Computing & DevOps,22,22
"Required skills: java, spring_boot, sql, jwt, validation. Must-have skills: java, spring_boot, sql. Interns will be responsible for tasks involving java, spring_boot, sql and assisting in related projects to gain hands-on experience.",3,4,3,Onsite,CS,Any,23,23
"Required skills: java, spring_boot, sql, jwt, validation. Must-have skills: java, spring_boot, sql. Interns will be responsible for tasks involving java, spring_boot, sql and assisting in related projects to gain hands-on experience.",2,3,6,Onsite,CS,Data Science & Big Data Analytics,24,24
"Required skills: java, spring, jdbc, sql, logging. Must-have skills: java, jdbc. Interns will be responsible for tasks involving java, spring, jdbc and assisting in related projects to gain hands-on experience.",3,4,6,Remote,CS,Software Engineering & Development,25,25
"Required skills: java, spring, jdbc, sql, logging. Must-have skills: java, jdbc. Interns will be responsible for tasks involving java, spring, jdbc and assisting in related projects to gain hands-on experience.",2,0,6,Onsite,CS,Software Engineering & Development,26,26
"Required skills: java, rest_api, swagger, postman. Must-have skills: java, rest_api. Interns will be responsible for tasks involving java, rest_api, swagger and assisting in related projects to gain hands-on experience.",1,2,6,Hybrid,CS,Artificial Intelligence & Machine Learning,27,27
"Required skills: java, rest_api, swagger, postman. Must-have skills: java, rest_api. Interns will be responsible for tasks involving java, rest_api, swagger and assisting in related projects to gain hands-on experience.",4,4,5,Onsite,CS,Artificial Intelligence & Machine Learning,28,28
"Required skills: java, hibernate, jpa, sql. Must-have skills: java, hibernate. Interns will be responsible for tasks involving java, hibernate, jpa and assisting in related projects to gain hands-on experience.",1,2,5,Remote,CS,Cloud Computing & DevOps,29,29
"Required skills: java, hibernate, jpa, sql. Must-have skills: java, hibernate. Interns will be responsible for tasks involving java, hibernate, jpa and assisting in related projects to gain hands-on experience.",4,1,6,Hybrid,CS,Cloud Computing & DevOps,30,30
"Required skills: java, spring_boot, pagination, filtering. Must-have skills: java, spring_boot. Interns will be responsible for tasks involving java, spring_boot, pagination and assisting in related projects to gain hands-on experience.",1,1,5,Onsite,CS,Software Engineering & Development,31,31
"Required skills: java, spring_boot, pagination, filtering. Must-have skills: java, spring_boot. Interns will be responsible for tasks involving java, spring_boot, pagination and assisting in related projects to gain hands-on experience.",1,2,5,Remote,CS,Cloud Computing & DevOps,32,32
"Required skills: java, sql, indexing, query_optimization. Must-have skills: java, sql. Interns will be responsible for tasks involving java, sql, indexing and assisting in related projects to gain hands-on experience.",1,0,6,Hybrid,CS,Any,33,33
"Required skills: java, sql, indexing, query_optimization. Must-have skills: java, sql. Interns will be responsible for tasks involving java, sql, indexing and assisting in related projects to gain hands-on experience.",1,2,4,Remote,CS,Any,34,34
"Required skills: java, spring_boot, exception_handling. Must-have skills: java, spring_boot. Interns will be responsible for tasks involving java, spring_boot, exception_handling and assisting in related projects to gain hands-on experience.",4,2,5,Onsite,CS,Artificial Intelligence & Machine Learning,35,35
"Required skills: java, spring_boot, exception_handling. Must-have skills: java, spring_boot. Interns will be responsible for tasks involving java, spring_boot, exception_handling and assisting in related projects to gain hands-on experience.",4,0,6,Onsite,CS,Software Engineering & Development,36,36
"Required skills: java, spring_boot, security, jwt. Must-have skills: java, spring_boot. Interns will be responsible for tasks involving java, spring_boot, security and assisting in related projects to gain hands-on experience.",1,0,4,Onsite,CS,Artificial Intelligence & Machine Learning,37,37
"Required skills: java, spring_boot, security, jwt. Must-have skills: java, spring_boot. Interns will be responsible for tasks involving java, spring_boot, security and assisting in related projects to gain hands-on experience.",2,0,6,Remote,CS,Cybersecurity & Information Security,38,38
"Required skills: java, rest_api, microservices, sql. Must-have skills: java, rest_api. Interns will be responsible for tasks involving java, rest_api, microservices and assisting in related projects to gain hands-on experience.",2,3,4,Remote,CS,Cloud Computing & DevOps,39,39
"Required skills: java, rest_api, microservices, sql. Must-have skills: java, rest_api. Interns will be responsible for tasks involving java, rest_api, microservices and assisting in related projects to gain hands-on experience.",4,0,5,Onsite,CS,Any,40,40
